With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
1.2585541895536405,.file_name,1.2585542123177362,.file_name,1.405753456487502,TODO,2.707687654010818,;,2.533874799097117,;,3.9422204367931064,TODO,-4.891548352696971,(,-4.891548352696971,(,-4.6067682621803,(
1.2585541747200801,setBlankPassword,1.258554171402865,setBlankPassword,1.1887082343471729,setBlankPassword,1.4958921778275236,=,1.3315315735619393,=,2.8017207368770176,;,-4.913866875652666,),-4.913866875652666,),-4.622234585943571,)
1.2083530812535261,;,1.208353434015016,;,1.1887082343252944,.file_name,0.9630125623697484,' :,0.9377857447869875,' :,2.132236521546597,FIXME,-5.149677117397608,;,-5.149677117397608,;,-4.7350055924918815,","
0.6705535258101123,' :,0.6705533993848517,' :,1.1887082324927454,stderr,0.8792918916874688,setBlankPassword,0.8723794946423495,.file_name,2.020456412819996,todo,-5.351080682075412,",",-5.351080682075412,",",-4.910190143970692,:
0.5952686870575431,if (,0.5952686468034871,if (,1.1761015384225315,ignored,0.8792918916874688,.file_name,0.8723794946423495,setBlankPassword,1.754075931388582,comment,-5.552946834942336,'',-5.552946834942336,'',-5.2312457252389795,;
0.5833516621623442,# define,0.5833516369329527,# define,1.1401412651099803,slow,0.8569139423983871,if (,0.8439695411798583,if (,1.597725069927969,Select,-5.6568464299604875,=,-5.6568464299604875,=,-5.244913363967643,''
0.5522873969313331,ax.legend (,0.5522876386553277,ax.legend,1.086100779494538,;,0.7824639812433362,# include,0.7497068482383964,# include,1.5459228337656163,=,-5.7605861997205805,) ;,-5.7605861997205805,) ;,-5.290269065688441,the
0.5522873969313331,ax.legend,0.5522876386553277,ax.legend (,1.0534888420297286,comment,0.7547493730589135,IF,0.7388857525004225,IF,1.5211466952458372,Note,-5.810389022204399,<,-5.810389022204399,<,-5.293474196637389,.
0.5522873607917184,ParserElement.enablePackrat (,0.5522874409139126,ParserElement.enablePackrat (,0.9725794674860924,noinspection,0.746970510943894,include,0.7241192169447968,include,1.4919784727257293,See,-5.840628907394117,``,-5.840628907394117,``,-5.53361532432017,<
0.5522873607917184,ParserElement.enablePackrat,0.5522874409139126,ParserElement.enablePackrat,0.958133788583746,FIXME,0.7332898375000605,# define,0.7017991874002261,# define,1.4787640686165402,noinspection,-6.3355006032178665,:,-6.3355006032178665,:,-5.692539282900086,=
0.528983833299417,=,0.5289839042201167,=,0.886390740480389,eslint-disable-next-line,0.7255771090872696,void,0.6832536912543623,void,1.4753333171810974,:,-6.379625408126804,( ),-6.379625408126804,( ),-5.706997366075315,>
0.5111899489039302,# include,0.5111898919317022,# include,0.8305714030118851,todo,0.6812781344899399,``,0.648858555680922,``,1.4616237939834138,author,-6.43369262939708,[,-6.43369262939708,[,-5.798431572034947,``
0.4748210157552646,[ Map.OneOrMore,0.4748210353730514,Map.OneOrMore,0.8265370668383563,not used,0.6394873432058741,define,0.6169263394774267,< <,1.4311240632483944,@ author,-6.43369262939708,],-6.43369262939708,],-5.850284933645203,to
0.4748210157552646,Map.OneOrMore ],0.4748210353730514,Map.OneOrMore ],0.7016248178797778,noqa,0.6342623642625587,include <,0.6095507463714174,include <,1.357846596146263,eslint-disable-next-line,-6.457790180976141,>,-6.457790180976141,>,-5.928928060964316,'
0.4748210157552646,Map.OneOrMore,0.4748210353730514,[ Map.OneOrMore,0.6673403608917111,See,0.6242283172545362,< <,0.5974738828454766,define,1.3558910386324536,TODO :,-6.770164866018293,< <,-6.770164866018293,< <,-5.935007107040698,*
0.46075062054854443,include,0.460750535665535,include,0.6139390566430971,under development,0.5747420987837871,",",0.5507621402945754,{,1.3552774889945465,you,-6.770164866018293,'' '',-6.770164866018293,'' '',-5.956579592294826,) ;
