svm_y8_W,svm_y8_T,svm_y6_W,svm_y6_T,svm_y2_W,svm_y2_T,log_y8_W,log_y8_T,log_y6_W,log_y6_T,log_y2_W,log_y2_T,mnb_y8_code_W,mnb_y8_code_T,mnb_y8_functional-inline_W,mnb_y8_functional-inline_T,mnb_y8_functional-method_W,mnb_y8_functional-method_T,mnb_y8_functional-module_W,mnb_y8_functional-module_T,mnb_y8_general_W,mnb_y8_general_T,mnb_y8_notice_W,mnb_y8_notice_T,mnb_y8_todo_W,mnb_y8_todo_T,mnb_y6_code_W,mnb_y6_code_T,mnb_y6_functional_W,mnb_y6_functional_T,mnb_y6_general_W,mnb_y6_general_T,mnb_y6_notice_W,mnb_y6_notice_T,mnb_y6_todo_W,mnb_y6_todo_T,mnb_y2_functional_W,mnb_y2_functional_T,mnb_y2_non-functional_W,mnb_y2_non-functional_T
-3.0743248945736688,modela,-3.0743265610787325,modela,3.759922626530524,Korak,7.18011172112102,;,6.568841462133085,;,12.007070306117749,Korak,-2.5811880301673753,(,-3.964392892066366,se,-2.762923220125627,*,-3.204975623919421,.,-2.455346222420659,.,-3.4939452891340665,.,-3.2408431462605254,:,-2.5811880301673753,(,-3.66524922852083,*,-2.455346222420659,.,-3.4939452891340665,.,-3.2408431462605254,:,-3.7650989498636998,*,-3.250974348758038,.
2.861013333954921,window_sum,2.8610113588003587,window_sum,3.5208598774511493,TODO,5.752422962742301,=,4.934960804888484,=,10.84234846658325,TODO,-2.7941183096512328,),-3.9737345088826928,u,-3.773031133212016,.,-3.3790978273160373,*,-2.7470440122670987,:,-3.5422508143766547,",",-3.40619488495113,.,-2.7941183096512328,),-3.804739095628575,.,-2.7470440122670987,:,-3.5422508143766547,",",-3.40619488495113,.,-3.9045380672964196,.,-3.66929654016245,","
2.689009630199497,if,2.6890127010009772,if,3.271340012874776,@author,4.586829388587388,if,-4.243480311686219,je,10.473372046753266,@author,-2.861209745503051,.,-4.002277322232763,.,-3.9113517891338656,za,-3.621787640042001,za,-3.2053573260086674,c,-3.834921888870565,:,-3.5647783484698357,Korak,-2.861209745503051,.,-3.916500958142608,za,-3.2053573260086674,c,-3.834921888870565,:,-3.5647783484698357,Korak,-4.016253840968694,za,-3.6811221308831117,(
2.6556608948030878,;,2.655660675341173,;,2.487889910649099,Napisati,-4.475284029884917,je,4.207842561599966,if,7.04390025155131,c,-2.9703038000767563,=,-4.013161123413458,za,-4.089256283995921,na,-4.100317960585438,i,-3.6207667971688213,File,-3.960265641156433,da,-3.617488227987808,",",-2.9703038000767563,=,-4.035831347079202,se,-3.6207667971688213,File,-3.960265641156433,da,-3.617488227987808,",",-4.135528991147438,se,-3.721429429492539,:
-2.3907177920736227,^,-2.3907183343120275,^,2.158543247810629,c,-4.471632729093283,za,4.0784808905771825,print,6.580787645592142,Napisati,-3.220708874509612,",",-4.124792697722428,je,-4.092030094028117,se,-4.15100686178431,::,-3.794863300101241,*,-4.104024909950132,u,-3.9803166053156795,i,-3.220708874509612,",",-4.085250883936017,u,-3.794863300101241,*,-4.104024909950132,u,-3.9803166053156795,i,-4.184923650646567,u,-3.8366752634135723,)
2.363826346118929,)),2.363826911218238,)),-2.117526963543712,Parametri,4.462834222716046,print,-3.9040406697310197,u,6.534917366895484,=,-3.398421417377873,',-4.24822609168353,i,-4.318199655368876,u,-4.250060851454965,Klasa,-3.950587297415138,@author,-4.204216483886993,se,-4.1937968922208935,u,-3.398421417377873,',-4.26249595434939,je,-3.950587297415138,@author,-4.204216483886993,se,-4.1937968922208935,u,-4.362068675836699,je,-4.176877606516477,=
-2.36122841160177,je,-2.3612294303519117,je,2.0447340213547722,pozvati,4.2811925951936995,(,-3.9024212515009045,za,6.484324189970482,;,-3.5193193491564796,;,-4.283156411316945,",",-4.33299914803132,-,-4.370621011341196,",",-4.1747907899247725,h,-4.24172230618899,i,-4.347212325043189,da,-3.5193193491564796,;,-4.304558491427931,i,-4.1747907899247725,h,-4.24172230618899,i,-4.347212325043189,da,-4.4041047537642495,i,-4.575179757421839,i
-2.3593353008804847,find,-2.359339585242414,find,2.0271089139061003,?,-4.1286363241724695,u,3.883025431943904,(,6.3935593381487354,upit,-3.8227629456218724,[,-4.3102964752715796,da,-4.452645168727088,koja,-4.591491545600336,DEMO,-4.3852186789317,],-4.241993676466581,(,-4.401920921434226,za,-3.8227629456218724,[,-4.343259373803751,",",-4.3852186789317,],-4.241993676466581,(,-4.401920921434226,za,-4.4427802893657145,",",-4.582193335373759,'
-2.355535122555243,model2,-2.3555342419153638,model2,-1.9153903506956196,udesno,3.9562335485344455,window_sum,3.704869970333015,window_sum,6.319156063357916,?,-3.8988342496979587,],-4.451563431980713,na,-4.459571529329079,je,-4.599720263224844,sa,-4.3852186789317,[,-4.255569356994681,),-4.552977440911015,se,-3.8988342496979587,],-4.352360447289872,na,-4.3852186789317,[,-4.255569356994681,),-4.552977440911015,se,-4.451875258464503,na,-4.782947654804222,Korak
-2.1936368374217654,pozivanje,-2.193637089459113,pozivanje,1.9122190613511298,;,3.8696602339325974,)),3.5615599535657636,)),-5.940262274539528,Parametri,-4.63044734688774,"""""",-4.758974630348945,*,-4.589569312671332,da,-4.6798832846407175,u,-4.38829852544029,cpp,-4.261942380228173,je,-4.58712626843387,tabele,-4.63044734688774,"""""",-4.419701050173164,da,-4.38829852544029,cpp,-4.261942380228173,je,-4.58712626843387,tabele,-4.519168926587903,da,-4.806890396838131,;
